fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
51700,0,0,1,1,3,0,6,9,16,10,4,14,28,66,50,15,7,9,3,8,27,20,9,12,4,20
51710,0,0,0,3,3,3,16,28,26,7,7,16,34,47,47,17,11,9,3,10,20,38,18,11,5,42
51720,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,0,0,0,1,2,3,4,1,0,1
51730,0,0,0,2,1,0,8,9,9,1,0,2,4,15,26,6,3,2,1,4,7,8,2,4,7,11
51735,0,0,0,0,0,0,0,0,2,0,0,1,5,7,2,0,0,2,0,0,0,1,3,1,1,3
51740,0,0,0,5,6,5,6,12,25,11,2,7,19,43,32,17,9,5,1,5,12,19,9,6,6,18
51750,0,0,0,0,0,0,0,0,1,1,2,4,2,5,4,0,0,0,9,1,0,3,4,3,0,4
51760,0,0,0,15,10,10,13,8,15,17,5,12,38,60,54,18,11,4,12,3,28,36,23,20,12,24
51770,0,0,0,0,9,1,1,4,13,15,34,24,21,41,31,11,5,6,2,7,9,19,22,15,12,24
51775,0,0,0,0,0,0,0,0,2,4,12,6,6,8,2,3,3,0,0,1,5,5,8,14,4,9
51790,0,0,0,0,0,0,0,0,0,4,9,16,21,15,3,2,2,0,0,3,6,3,2,4,6,5
51800,0,0,0,12,20,3,15,12,11,6,2,10,23,40,28,10,6,1,3,8,16,17,16,11,6,10
51810,0,0,0,14,10,7,16,24,21,18,8,37,56,96,61,23,20,10,5,19,51,60,22,30,56,51
51820,0,0,0,0,0,0,2,1,0,1,1,8,12,6,3,3,1,0,0,1,3,3,5,4,1,3
51830,0,0,1,0,3,2,0,0,1,1,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0
51840,0,0,0,0,2,1,1,0,0,1,0,6,10,14,7,3,3,1,0,1,2,4,3,1,3,11
51999,0,0,5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,1,0
53001,0,0,0,0,0,0,3,4,3,2,1,4,3,2,1,0,1,1,0,1,2,5,2,1,0,0
53003,0,0,0,2,0,0,0,0,1,5,5,5,8,1,0,1,1,1,2,2,13,5,1,1,3,2
53005,0,0,6,35,25,18,30,15,12,5,12,25,26,17,6,6,5,11,7,29,67,39,21,10,26,8
53007,0,0,2,4,1,0,5,3,5,1,10,7,14,11,4,3,0,5,2,7,16,8,17,15,8,3
53009,0,0,0,0,0,0,0,1,0,0,3,1,1,2,0,1,3,2,4,4,26,14,11,12,25,4
53011,0,0,6,15,4,5,13,15,11,14,40,37,44,39,19,16,14,19,11,34,87,71,52,56,75,25
53013,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,1,1,0,0,0,2,1,0,2,2
53015,0,0,0,0,0,0,5,2,1,0,2,24,16,18,15,9,9,9,9,22,70,49,22,21,25,7
53017,0,0,0,1,2,0,5,1,1,2,2,5,4,4,0,1,1,2,0,3,7,6,9,7,1,4
53019,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,1,2,4,1,1,2,3
53021,0,0,0,12,12,13,15,11,9,3,6,13,7,10,5,5,5,4,7,19,21,18,5,2,9,7
53023,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0
